model,corpus,log,quadratic,energy,kernel
gpt2,wikitext103,3.9170093536376953,0.8073903322219849,1.4655416011810303,0.20455066859722137
gpt2,ptb,5.028254985809326,0.8919456005096436,1.6460462808609009,0.23103757202625275
gpt2-medium,wikitext103,3.591224193572998,0.7741090059280396,1.2228634357452393,0.18273895978927612
gpt2-medium,ptb,4.769289016723633,0.8746605515480042,1.393553614616394,0.20837540924549103
opt-125m,wikitext103,4.049406051635742,0.8107030987739563,0.8116400837898254,0.32688015699386597
opt-125m,ptb,5.199061870574951,0.907279908657074,0.9347055554389954,0.38155806064605713
