,Log,Quadratic,Energy,Kernel
Log,0.0,,,
Quadratic,0.012042846652402756,0.0,,
Energy,0.01096956763394888,0.011146838378775637,0.0,
Kernel,0.009848622834351508,0.011331383267739187,0.010808841529025668,0.0
