,Log,Quadratic,Energy,Kernel
Log,0.0,,,
Quadratic,0.010084064309449373,0.0,,
Energy,0.008801262431276206,0.009346838437859717,0.0,
Kernel,0.007980007123492925,0.010384895764865652,0.008442624499752532,0.0
