model,corpus,decile,rule,mean_score,n_tokens
opt-125m,wikitext103,4,log,6.418446063995361,451
opt-125m,wikitext103,4,quadratic,0.949181854724884,451
opt-125m,wikitext103,4,energy,1.0013221502304077,451
opt-125m,wikitext103,4,kernel,0.4141876697540283,451
opt-125m,wikitext103,5,log,6.539382457733154,316
opt-125m,wikitext103,5,quadratic,0.9449818134307861,316
opt-125m,wikitext103,5,energy,0.9632971286773682,316
opt-125m,wikitext103,5,kernel,0.39004433155059814,316
opt-125m,wikitext103,6,log,6.76530122756958,250
opt-125m,wikitext103,6,quadratic,0.964486837387085,250
opt-125m,wikitext103,6,energy,1.0056803226470947,250
opt-125m,wikitext103,6,kernel,0.4118579626083374,250
opt-125m,wikitext103,7,log,6.89860725402832,158
opt-125m,wikitext103,7,quadratic,0.9524545669555664,158
opt-125m,wikitext103,7,energy,1.0099505186080933,158
opt-125m,wikitext103,7,kernel,0.4165264070034027,158
opt-125m,wikitext103,8,log,7.58511209487915,142
opt-125m,wikitext103,8,quadratic,0.9729448556900024,142
opt-125m,wikitext103,8,energy,1.0378966331481934,142
opt-125m,wikitext103,8,kernel,0.430434912443161,142
opt-125m,wikitext103,9,log,7.618724346160889,153
opt-125m,wikitext103,9,quadratic,0.9660669565200806,153
opt-125m,wikitext103,9,energy,0.9936012029647827,153
opt-125m,wikitext103,9,kernel,0.4071837067604065,153
gpt2,ptb,0,log,4.533864498138428,15258
gpt2,ptb,0,quadratic,0.8784692883491516,15258
gpt2,ptb,0,energy,1.5260084867477417,15258
gpt2,ptb,0,kernel,0.2051772028207779,15258
gpt2,ptb,1,log,6.219711780548096,1638
gpt2,ptb,1,quadratic,0.9330574870109558,1638
gpt2,ptb,1,energy,1.9227802753448486,1638
gpt2,ptb,1,kernel,0.2873450219631195,1638
gpt2,ptb,2,log,6.646128177642822,948
gpt2,ptb,2,quadratic,0.9358386397361755,948
gpt2,ptb,2,energy,2.0152664184570312,948
gpt2,ptb,2,kernel,0.3097929358482361,948
gpt2,ptb,3,log,6.6287760734558105,606
gpt2,ptb,3,quadratic,0.9238365888595581,606
gpt2,ptb,3,energy,2.0224668979644775,606
gpt2,ptb,3,kernel,0.3148878216743469,606
gpt2,ptb,4,log,6.819937705993652,406
gpt2,ptb,4,quadratic,0.9572791457176208,406
gpt2,ptb,4,energy,2.164231777191162,406
gpt2,ptb,4,kernel,0.3411765992641449,406
gpt2,ptb,5,log,6.756794452667236,285
gpt2,ptb,5,quadratic,0.9343855977058411,285
gpt2,ptb,5,energy,2.1073524951934814,285
gpt2,ptb,5,kernel,0.3331310451030731,285
gpt2,ptb,6,log,7.277734756469727,226
gpt2,ptb,6,quadratic,0.9775210618972778,226
gpt2,ptb,6,energy,2.227489471435547,226
gpt2,ptb,6,kernel,0.35423192381858826,226
gpt2,ptb,7,log,7.627193927764893,190
gpt2,ptb,7,quadratic,0.9502350687980652,190
gpt2,ptb,7,energy,2.190845251083374,190
gpt2,ptb,7,kernel,0.3507867157459259,190
gpt2,ptb,8,log,7.082517147064209,215
gpt2,ptb,8,quadratic,0.9161015152931213,215
gpt2,ptb,8,energy,2.140230178833008,215
gpt2,ptb,8,kernel,0.34572598338127136,215
gpt2,ptb,9,log,6.888994216918945,228
gpt2,ptb,9,quadratic,0.9056043028831482,228
gpt2,ptb,9,energy,2.15960431098938,228
gpt2,ptb,9,kernel,0.35299769043922424,228
gpt2-medium,ptb,0,log,4.330721378326416,15258
gpt2-medium,ptb,0,quadratic,0.8631204962730408,15258
gpt2-medium,ptb,0,energy,1.2809182405471802,15258
gpt2-medium,ptb,0,kernel,0.181715726852417,15258
gpt2-medium,ptb,1,log,5.826406955718994,1638
gpt2-medium,ptb,1,quadratic,0.9058579206466675,1638
gpt2-medium,ptb,1,energy,1.6569693088531494,1638
gpt2-medium,ptb,1,kernel,0.2686588764190674,1638
gpt2-medium,ptb,2,log,6.212062358856201,948
gpt2-medium,ptb,2,quadratic,0.9135345816612244,948
gpt2-medium,ptb,2,energy,1.744821548461914,948
gpt2-medium,ptb,2,kernel,0.29073408246040344,948
gpt2-medium,ptb,3,log,6.114206314086914,606
gpt2-medium,ptb,3,quadratic,0.8969705700874329,606
gpt2-medium,ptb,3,energy,1.7431713342666626,606
gpt2-medium,ptb,3,kernel,0.2940259575843811,606
gpt2-medium,ptb,4,log,6.399992942810059,406
gpt2-medium,ptb,4,quadratic,0.9419398307800293,406
gpt2-medium,ptb,4,energy,1.875300645828247,406
gpt2-medium,ptb,4,kernel,0.32114025950431824,406
gpt2-medium,ptb,5,log,6.145219802856445,285
gpt2-medium,ptb,5,quadratic,0.9017327427864075,285
gpt2-medium,ptb,5,energy,1.788915753364563,285
gpt2-medium,ptb,5,kernel,0.30405348539352417,285
gpt2-medium,ptb,6,log,6.852453708648682,226
gpt2-medium,ptb,6,quadratic,0.9487819075584412,226
gpt2-medium,ptb,6,energy,1.9159772396087646,226
gpt2-medium,ptb,6,kernel,0.3323201537132263,226
gpt2-medium,ptb,7,log,7.2896928787231445,190
gpt2-medium,ptb,7,quadratic,0.9659296274185181,190
gpt2-medium,ptb,7,energy,1.9717481136322021,190
gpt2-medium,ptb,7,kernel,0.3394578993320465,190
gpt2-medium,ptb,8,log,6.465334415435791,215
gpt2-medium,ptb,8,quadratic,0.8788482546806335,215
gpt2-medium,ptb,8,energy,1.8264861106872559,215
gpt2-medium,ptb,8,kernel,0.31805333495140076,215
gpt2-medium,ptb,9,log,6.562302112579346,228
gpt2-medium,ptb,9,quadratic,0.8947520852088928,228
gpt2-medium,ptb,9,energy,1.8890541791915894,228
gpt2-medium,ptb,9,kernel,0.33337536454200745,228
opt-125m,ptb,0,log,4.674002647399902,15156
opt-125m,ptb,0,quadratic,0.8941830396652222,15156
opt-125m,ptb,0,energy,0.9177504181861877,15156
opt-125m,ptb,0,kernel,0.37387800216674805,15156
opt-125m,ptb,1,log,6.43310546875,1692
opt-125m,ptb,1,quadratic,0.9428138732910156,1692
opt-125m,ptb,1,energy,0.9628212451934814,1692
opt-125m,ptb,1,kernel,0.39126452803611755,1692
opt-125m,ptb,2,log,6.639653205871582,948
opt-125m,ptb,2,quadratic,0.9488771557807922,948
opt-125m,ptb,2,energy,0.9782235026359558,948
opt-125m,ptb,2,kernel,0.3991546630859375,948
opt-125m,ptb,3,log,6.873852252960205,604
opt-125m,ptb,3,quadratic,0.9494110345840454,604
opt-125m,ptb,3,energy,0.9945204854011536,604
opt-125m,ptb,3,kernel,0.4097973108291626,604
opt-125m,ptb,4,log,7.2272186279296875,390
opt-125m,ptb,4,quadratic,0.9623749852180481,390
opt-125m,ptb,4,energy,1.0284744501113892,390
opt-125m,ptb,4,kernel,0.42762404680252075,390
opt-125m,ptb,5,log,7.01215124130249,332
opt-125m,ptb,5,quadratic,0.9332534670829773,332
opt-125m,ptb,5,energy,0.979522705078125,332
opt-125m,ptb,5,kernel,0.40546974539756775,332
opt-125m,ptb,6,log,7.515466213226318,220
opt-125m,ptb,6,quadratic,0.961097002029419,220
opt-125m,ptb,6,energy,1.0420433282852173,220
opt-125m,ptb,6,kernel,0.43562185764312744,220
opt-125m,ptb,7,log,7.468376636505127,234
opt-125m,ptb,7,quadratic,0.9581078290939331,234
opt-125m,ptb,7,energy,1.0275228023529053,234
opt-125m,ptb,7,kernel,0.4287241995334625,234
opt-125m,ptb,8,log,7.3172101974487305,195
opt-125m,ptb,8,quadratic,0.9431964755058289,195
opt-125m,ptb,8,energy,1.0169662237167358,195
opt-125m,ptb,8,kernel,0.42422983050346375,195
opt-125m,ptb,9,log,8.019770622253418,229
opt-125m,ptb,9,quadratic,0.962489902973175,229
opt-125m,ptb,9,energy,1.0185191631317139,229
opt-125m,ptb,9,kernel,0.4212094247341156,229
