,Log,Quadratic,Energy,Kernel
Log,1.0,,,
Quadratic,0.7166806740185889,1.0,,
Energy,0.6199612501009476,0.6073374475367145,1.0,
Kernel,0.618342614089588,0.5868059258314173,0.5588440418760555,1.0
